accuracy,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.44285714626312256,1.2576318979263306,1769183726,,False,1,ec075_00003,2026-01-23_19-55-26,0.9411532878875732,0.9411532878875732,96707,pop-os,192.168.0.178,0.9411532878875732,1
0.5142857432365417,1.1120877265930176,1769183726,,False,2,ec075_00003,2026-01-23_19-55-26,0.30301594734191895,1.2441692352294922,96707,pop-os,192.168.0.178,1.2441692352294922,2
0.518367350101471,1.0985643863677979,1769183727,,False,3,ec075_00003,2026-01-23_19-55-27,0.49941563606262207,1.7435848712921143,96707,pop-os,192.168.0.178,1.7435848712921143,3
0.45204082131385803,1.176822304725647,1769183728,,False,4,ec075_00003,2026-01-23_19-55-28,0.5703513622283936,2.313936233520508,96707,pop-os,192.168.0.178,2.313936233520508,4
0.5030612349510193,1.1058791875839233,1769183728,,False,5,ec075_00003,2026-01-23_19-55-28,0.1930544376373291,2.506990671157837,96707,pop-os,192.168.0.178,2.506990671157837,5
0.5204081535339355,1.0734272003173828,1769183728,,False,6,ec075_00003,2026-01-23_19-55-28,0.20026016235351562,2.7072508335113525,96707,pop-os,192.168.0.178,2.7072508335113525,6
0.5010204315185547,1.093611478805542,1769183728,,False,7,ec075_00003,2026-01-23_19-55-28,0.19242191314697266,2.899672746658325,96707,pop-os,192.168.0.178,2.899672746658325,7
0.5244898200035095,1.0779792070388794,1769183728,,False,8,ec075_00003,2026-01-23_19-55-28,0.24456477165222168,3.144237518310547,96707,pop-os,192.168.0.178,3.144237518310547,8
0.5020408034324646,1.114556908607483,1769183729,,False,9,ec075_00003,2026-01-23_19-55-29,0.5006270408630371,3.644864559173584,96707,pop-os,192.168.0.178,3.644864559173584,9
0.5112245082855225,1.1196249723434448,1769183729,,False,10,ec075_00003,2026-01-23_19-55-29,0.19356298446655273,3.8384275436401367,96707,pop-os,192.168.0.178,3.8384275436401367,10
0.518367350101471,1.1360012292861938,1769183729,,False,11,ec075_00003,2026-01-23_19-55-29,0.2937655448913574,4.132193088531494,96707,pop-os,192.168.0.178,4.132193088531494,11
0.5265306234359741,1.0936365127563477,1769183730,,False,12,ec075_00003,2026-01-23_19-55-30,0.5594217777252197,4.691614866256714,96707,pop-os,192.168.0.178,4.691614866256714,12
0.531632661819458,1.1107769012451172,1769183731,,False,13,ec075_00003,2026-01-23_19-55-31,0.5872848033905029,5.278899669647217,96707,pop-os,192.168.0.178,5.278899669647217,13
0.5193877816200256,1.140212893486023,1769183731,,False,14,ec075_00003,2026-01-23_19-55-31,0.5788695812225342,5.857769250869751,96707,pop-os,192.168.0.178,5.857769250869751,14
0.527550995349884,1.0909088850021362,1769183731,,False,15,ec075_00003,2026-01-23_19-55-31,0.3353567123413086,6.19312596321106,96707,pop-os,192.168.0.178,6.19312596321106,15
