accuracy,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5265306234359741,1.1354955434799194,1769183725,,False,1,ec075_00007,2026-01-23_19-55-25,0.8900127410888672,0.8900127410888672,96703,pop-os,192.168.0.178,0.8900127410888672,1
0.5224489569664001,1.10992431640625,1769183725,,False,2,ec075_00007,2026-01-23_19-55-25,0.15693902969360352,1.0469517707824707,96703,pop-os,192.168.0.178,1.0469517707824707,2
0.5387755036354065,1.0906963348388672,1769183726,,False,3,ec075_00007,2026-01-23_19-55-26,0.14703798294067383,1.1939897537231445,96703,pop-os,192.168.0.178,1.1939897537231445,3
0.5336734652519226,1.0840352773666382,1769183726,,False,4,ec075_00007,2026-01-23_19-55-26,0.15840959548950195,1.3523993492126465,96703,pop-os,192.168.0.178,1.3523993492126465,4
0.545918345451355,1.0824240446090698,1769183726,,False,5,ec075_00007,2026-01-23_19-55-26,0.1463916301727295,1.498790979385376,96703,pop-os,192.168.0.178,1.498790979385376,5
0.5377551317214966,1.0704874992370605,1769183726,,False,6,ec075_00007,2026-01-23_19-55-26,0.15299701690673828,1.6517879962921143,96703,pop-os,192.168.0.178,1.6517879962921143,6
0.550000011920929,1.0652908086776733,1769183726,,False,7,ec075_00007,2026-01-23_19-55-26,0.1541762351989746,1.8059642314910889,96703,pop-os,192.168.0.178,1.8059642314910889,7
0.5397959351539612,1.0707656145095825,1769183726,,False,8,ec075_00007,2026-01-23_19-55-26,0.22544097900390625,2.031405210494995,96703,pop-os,192.168.0.178,2.031405210494995,8
0.5581632852554321,1.0421061515808105,1769183727,,False,9,ec075_00007,2026-01-23_19-55-27,0.15337133407592773,2.184776544570923,96703,pop-os,192.168.0.178,2.184776544570923,9
0.5510203838348389,1.0431909561157227,1769183727,,False,10,ec075_00007,2026-01-23_19-55-27,0.15234112739562988,2.3371176719665527,96703,pop-os,192.168.0.178,2.3371176719665527,10
0.5540816187858582,1.0390716791152954,1769183727,,False,11,ec075_00007,2026-01-23_19-55-27,0.15806841850280762,2.4951860904693604,96703,pop-os,192.168.0.178,2.4951860904693604,11
0.5571428537368774,1.0457963943481445,1769183727,,False,12,ec075_00007,2026-01-23_19-55-27,0.1542038917541504,2.6493899822235107,96703,pop-os,192.168.0.178,2.6493899822235107,12
0.5673469305038452,1.0331918001174927,1769183727,,False,13,ec075_00007,2026-01-23_19-55-27,0.18439865112304688,2.8337886333465576,96703,pop-os,192.168.0.178,2.8337886333465576,13
0.563265323638916,1.0246961116790771,1769183727,,False,14,ec075_00007,2026-01-23_19-55-27,0.14332270622253418,2.977111339569092,96703,pop-os,192.168.0.178,2.977111339569092,14
0.5520408153533936,1.0397131443023682,1769183728,,False,15,ec075_00007,2026-01-23_19-55-28,0.15572285652160645,3.1328341960906982,96703,pop-os,192.168.0.178,3.1328341960906982,15
0.5704081654548645,1.0212910175323486,1769183728,,False,16,ec075_00007,2026-01-23_19-55-28,0.150740385055542,3.2835745811462402,96703,pop-os,192.168.0.178,3.2835745811462402,16
0.5724489688873291,1.0193638801574707,1769183728,,False,17,ec075_00007,2026-01-23_19-55-28,0.14717841148376465,3.430752992630005,96703,pop-os,192.168.0.178,3.430752992630005,17
0.5693877339363098,1.0250192880630493,1769183728,,False,18,ec075_00007,2026-01-23_19-55-28,0.14186549186706543,3.5726184844970703,96703,pop-os,192.168.0.178,3.5726184844970703,18
0.5744897723197937,1.017877221107483,1769183728,,False,19,ec075_00007,2026-01-23_19-55-28,0.1482558250427246,3.720874309539795,96703,pop-os,192.168.0.178,3.720874309539795,19
0.5653061270713806,1.0339255332946777,1769183728,,False,20,ec075_00007,2026-01-23_19-55-28,0.1403343677520752,3.86120867729187,96703,pop-os,192.168.0.178,3.86120867729187,20
0.5704081654548645,1.0305192470550537,1769183728,,False,21,ec075_00007,2026-01-23_19-55-28,0.1441817283630371,4.005390405654907,96703,pop-os,192.168.0.178,4.005390405654907,21
0.5693877339363098,1.0168266296386719,1769183729,,False,22,ec075_00007,2026-01-23_19-55-29,0.14612054824829102,4.151510953903198,96703,pop-os,192.168.0.178,4.151510953903198,22
0.5744897723197937,1.0215027332305908,1769183729,,False,23,ec075_00007,2026-01-23_19-55-29,0.1438150405883789,4.295325994491577,96703,pop-os,192.168.0.178,4.295325994491577,23
0.5724489688873291,1.0279420614242554,1769183729,,False,24,ec075_00007,2026-01-23_19-55-29,0.14092111587524414,4.436247110366821,96703,pop-os,192.168.0.178,4.436247110366821,24
0.5744897723197937,1.030727505683899,1769183729,,False,25,ec075_00007,2026-01-23_19-55-29,0.14209890365600586,4.578346014022827,96703,pop-os,192.168.0.178,4.578346014022827,25
0.5744897723197937,1.0243439674377441,1769183729,,False,26,ec075_00007,2026-01-23_19-55-29,0.1450672149658203,4.7234132289886475,96703,pop-os,192.168.0.178,4.7234132289886475,26
0.5673469305038452,1.025786280632019,1769183729,,False,27,ec075_00007,2026-01-23_19-55-29,0.14423513412475586,4.867648363113403,96703,pop-os,192.168.0.178,4.867648363113403,27
0.563265323638916,1.0441056489944458,1769183729,,False,28,ec075_00007,2026-01-23_19-55-29,0.16682839393615723,5.0344767570495605,96703,pop-os,192.168.0.178,5.0344767570495605,28
0.5714285969734192,1.022931456565857,1769183730,,False,29,ec075_00007,2026-01-23_19-55-30,0.14855170249938965,5.18302845954895,96703,pop-os,192.168.0.178,5.18302845954895,29
0.577551007270813,1.024248480796814,1769183730,,False,30,ec075_00007,2026-01-23_19-55-30,0.142439603805542,5.325468063354492,96703,pop-os,192.168.0.178,5.325468063354492,30
0.5795918107032776,1.015514612197876,1769183730,,False,31,ec075_00007,2026-01-23_19-55-30,0.14246821403503418,5.467936277389526,96703,pop-os,192.168.0.178,5.467936277389526,31
0.5755102038383484,1.0254195928573608,1769183730,,False,32,ec075_00007,2026-01-23_19-55-30,0.1443474292755127,5.612283706665039,96703,pop-os,192.168.0.178,5.612283706665039,32
0.5663265585899353,1.0336281061172485,1769183730,,False,33,ec075_00007,2026-01-23_19-55-30,0.1513357162475586,5.763619422912598,96703,pop-os,192.168.0.178,5.763619422912598,33
0.5704081654548645,1.0104780197143555,1769183730,,False,34,ec075_00007,2026-01-23_19-55-30,0.15025782585144043,5.913877248764038,96703,pop-os,192.168.0.178,5.913877248764038,34
0.5663265585899353,1.0405848026275635,1769183731,,False,35,ec075_00007,2026-01-23_19-55-31,0.15159940719604492,6.065476655960083,96703,pop-os,192.168.0.178,6.065476655960083,35
0.5693877339363098,1.0390582084655762,1769183731,,False,36,ec075_00007,2026-01-23_19-55-31,0.14765286445617676,6.21312952041626,96703,pop-os,192.168.0.178,6.21312952041626,36
0.5734694004058838,1.025018572807312,1769183731,,False,37,ec075_00007,2026-01-23_19-55-31,0.1453545093536377,6.3584840297698975,96703,pop-os,192.168.0.178,6.3584840297698975,37
0.5785714387893677,1.0319839715957642,1769183731,,False,38,ec075_00007,2026-01-23_19-55-31,0.14765048027038574,6.506134510040283,96703,pop-os,192.168.0.178,6.506134510040283,38
0.5714285969734192,1.0337908267974854,1769183731,,False,39,ec075_00007,2026-01-23_19-55-31,0.15303611755371094,6.659170627593994,96703,pop-os,192.168.0.178,6.659170627593994,39
0.5826530456542969,1.0385417938232422,1769183731,,False,40,ec075_00007,2026-01-23_19-55-31,0.14789462089538574,6.80706524848938,96703,pop-os,192.168.0.178,6.80706524848938,40
0.5867347121238708,1.0280190706253052,1769183731,,False,41,ec075_00007,2026-01-23_19-55-31,0.15430116653442383,6.961366415023804,96703,pop-os,192.168.0.178,6.961366415023804,41
0.5683673620223999,1.0371878147125244,1769183732,,False,42,ec075_00007,2026-01-23_19-55-32,0.15033960342407227,7.111706018447876,96703,pop-os,192.168.0.178,7.111706018447876,42
0.581632673740387,1.0353994369506836,1769183732,,False,43,ec075_00007,2026-01-23_19-55-32,0.14564847946166992,7.257354497909546,96703,pop-os,192.168.0.178,7.257354497909546,43
0.5734694004058838,1.0431020259857178,1769183732,,False,44,ec075_00007,2026-01-23_19-55-32,0.14528465270996094,7.402639150619507,96703,pop-os,192.168.0.178,7.402639150619507,44
0.5683673620223999,1.0438998937606812,1769183732,,False,45,ec075_00007,2026-01-23_19-55-32,0.1458280086517334,7.54846715927124,96703,pop-os,192.168.0.178,7.54846715927124,45
0.581632673740387,1.0371373891830444,1769183732,,False,46,ec075_00007,2026-01-23_19-55-32,0.1692824363708496,7.71774959564209,96703,pop-os,192.168.0.178,7.71774959564209,46
0.577551007270813,1.0561387538909912,1769183732,,False,47,ec075_00007,2026-01-23_19-55-32,0.15189719200134277,7.869646787643433,96703,pop-os,192.168.0.178,7.869646787643433,47
0.5836734771728516,1.0475298166275024,1769183733,,False,48,ec075_00007,2026-01-23_19-55-33,0.15515780448913574,8.024804592132568,96703,pop-os,192.168.0.178,8.024804592132568,48
0.5683673620223999,1.0558130741119385,1769183733,,False,49,ec075_00007,2026-01-23_19-55-33,0.14701175689697266,8.171816349029541,96703,pop-os,192.168.0.178,8.171816349029541,49
0.5663265585899353,1.0539228916168213,1769183733,,False,50,ec075_00007,2026-01-23_19-55-33,0.14996623992919922,8.32178258895874,96703,pop-os,192.168.0.178,8.32178258895874,50
0.5857142806053162,1.0580642223358154,1769183733,,False,51,ec075_00007,2026-01-23_19-55-33,0.1456301212310791,8.46741271018982,96703,pop-os,192.168.0.178,8.46741271018982,51
0.5826530456542969,1.0452275276184082,1769183733,,False,52,ec075_00007,2026-01-23_19-55-33,0.15234017372131348,8.619752883911133,96703,pop-os,192.168.0.178,8.619752883911133,52
0.5846938490867615,1.0565240383148193,1769183733,,False,53,ec075_00007,2026-01-23_19-55-33,0.14898467063903809,8.768737554550171,96703,pop-os,192.168.0.178,8.768737554550171,53
0.5785714387893677,1.1192582845687866,1769183734,,False,54,ec075_00007,2026-01-23_19-55-34,0.3535587787628174,9.122296333312988,96703,pop-os,192.168.0.178,9.122296333312988,54
0.581632673740387,1.0885908603668213,1769183734,,False,55,ec075_00007,2026-01-23_19-55-34,0.3953702449798584,9.517666578292847,96703,pop-os,192.168.0.178,9.517666578292847,55
0.5846938490867615,1.056930661201477,1769183734,,False,56,ec075_00007,2026-01-23_19-55-34,0.23631668090820312,9.75398325920105,96703,pop-os,192.168.0.178,9.75398325920105,56
0.5581632852554321,1.1072319746017456,1769183734,,False,57,ec075_00007,2026-01-23_19-55-34,0.14077973365783691,9.894762992858887,96703,pop-os,192.168.0.178,9.894762992858887,57
0.5806122422218323,1.0783389806747437,1769183735,,False,58,ec075_00007,2026-01-23_19-55-35,0.1494438648223877,10.044206857681274,96703,pop-os,192.168.0.178,10.044206857681274,58
0.5724489688873291,1.0954828262329102,1769183735,,False,59,ec075_00007,2026-01-23_19-55-35,0.16562771797180176,10.209834575653076,96703,pop-os,192.168.0.178,10.209834575653076,59
0.5693877339363098,1.0860199928283691,1769183735,,False,60,ec075_00007,2026-01-23_19-55-35,0.14085054397583008,10.350685119628906,96703,pop-os,192.168.0.178,10.350685119628906,60
0.5612244606018066,1.0824475288391113,1769183735,,False,61,ec075_00007,2026-01-23_19-55-35,0.18168091773986816,10.532366037368774,96703,pop-os,192.168.0.178,10.532366037368774,61
0.5642856955528259,1.1079976558685303,1769183735,,False,62,ec075_00007,2026-01-23_19-55-35,0.14553380012512207,10.677899837493896,96703,pop-os,192.168.0.178,10.677899837493896,62
0.5693877339363098,1.0957413911819458,1769183735,,False,63,ec075_00007,2026-01-23_19-55-35,0.14064788818359375,10.81854772567749,96703,pop-os,192.168.0.178,10.81854772567749,63
0.5724489688873291,1.102880597114563,1769183735,,False,64,ec075_00007,2026-01-23_19-55-35,0.13941740989685059,10.95796513557434,96703,pop-os,192.168.0.178,10.95796513557434,64
0.5642856955528259,1.1151597499847412,1769183736,,False,65,ec075_00007,2026-01-23_19-55-36,0.15021800994873047,11.108183145523071,96703,pop-os,192.168.0.178,11.108183145523071,65
0.5714285969734192,1.0819655656814575,1769183736,,False,66,ec075_00007,2026-01-23_19-55-36,0.15829014778137207,11.266473293304443,96703,pop-os,192.168.0.178,11.266473293304443,66
0.5683673620223999,1.0920302867889404,1769183736,,False,67,ec075_00007,2026-01-23_19-55-36,0.14290833473205566,11.409381628036499,96703,pop-os,192.168.0.178,11.409381628036499,67
